run_id,score0,score1,score2,score3,score4,score5,score6,score7,score8,score9,universal_score
101,-197.88,-194.87,-181.66,-179.40,-177.90,-177.88,-173.38,-173.24,-173.19,-172.59,-184.19490909090908
247,-178.66,-169.07,-160.60,-160.39,-157.61,-156.10,-153.94,-153.76,-152.00,-151.30,-163.16836363636364
563,-226.24,-220.23,-210.16,-202.40,-199.78,-197.96,-193.39,-190.44,-189.84,-189.31,-208.08909090909086
521,-213.11,-199.49,-199.10,-191.97,-191.02,-183.32,-180.91,-179.19,-177.20,-176.98,-194.8801818181818
558,-224.89,-222.27,-220.16,-209.21,-201.72,-198.42,-196.43,-193.52,-193.42,-193.33,-211.34454545454543
792,-147.26,-145.52,-140.59,-136.65,-135.70,-131.95,-131.56,-130.82,-129.99,-126.64,-138.96036363636364
683,-220.88,-212.38,-197.75,-193.81,-191.12,-188.66,-185.67,-184.95,-183.23,-182.98,-199.9250909090909
629,-177.72,-169.41,-169.01,-168.98,-165.90,-165.79,-162.77,-160.57,-158.88,-156.94,-168.52127272727273
419,-192.12,-183.50,-179.46,-178.93,-178.35,-175.61,-175.03,-173.46,-171.77,-169.31,-180.77072727272727
766,-161.39,-158.07,-157.59,-152.22,-148.10,-142.10,-142.03,-141.03,-139.38,-139.33,-152.20345454545452
517,-225.81,-210.18,-205.58,-204.38,-203.94,-203.47,-198.32,-193.38,-186.54,-185.72,-207.24054545454544
487,-208.59,-202.00,-199.05,-198.51,-197.41,-196.95,-196.44,-192.81,-189.05,-186.66,-199.70963636363638
070,-175.65,-165.09,-164.89,-162.28,-160.47,-155.17,-155.00,-154.93,-154.07,-153.74,-163.32236363636363
